food,Caloric Value,Fat,Saturated Fats,Sugars,Sodium
eastern oyster cooked,8,0.2,0.073,0.0,0.038
blue mussels cooked,344,9.0,1.7,0.0,0.7
octopus raw,23,0.3,0.002,0.0,0.064
spiny lobster cooked,233,3.2,0.5,0.0,0.4
blue mussels raw,129,3.4,0.6,0.0,0.4
queen crab cooked,98,1.3,0.2,0.0,0.6
dungeness crab cooked,140,1.6,0.2,0.0,0.5
dungeness crab raw,140,1.6,0.2,0.0,0.5
shrimp fried,52,3.2,0.7,0.086,0.2
shrimp raw,4,0.023,0.061,0.0,0.083
blue crab cooked,71,0.6,0.2,0.0,0.3
shrimp imitation,29,0.4,0.019,0.0,0.2
conch baked,165,1.5,0.5,0.0,0.2
squid raw,26,0.4,0.1,0.0,0.09
scallop raw,10,0.091,0.089,0.0,0.057
lobster raw,116,1.1,0.3,0.0,0.6
scallop imitation,28,0.1,0.065,0.0,0.2
blue crab raw,18,0.2,0.067,0.0,0.079
whelk raw,39,0.1,0.096,0.0,0.073
spiny lobster raw,234,3.2,0.5,0.0,0.4
clams canned,227,2.5,0.5,0.0,0.2
lobster cooked,134,1.3,0.3,0.0,0.7
eastern oyster fried,29,1.8,0.5,0.0,0.015
clams raw,195,2.2,0.4,0.0,1.4
octopus cooked,139,1.8,0.4,0.0,0.4
eastern oyster raw,8,0.2,0.0,0.0,0.021
oyster fried,61,3.0,0.8,0.0,0.1
sturgeon smoked,49,1.2,0.3,0.0,0.2
chinook salmon smoked,159,5.9,1.3,0.0,1.1
cisco smoked,50,3.4,0.5,0.0,0.1
haddock smoked,33,0.3,0.049,0.0,0.2
whitefish smoked,147,1.3,0.3,0.0,1.4
red salmon sockeye filets smoked,373,12.3,2.8,0.0,0.065
eggnog,224,10.6,6.6,20.4,0.1
beer light,96,0.0,0.0,0.3,0.095
beer budweiser,12,0.0,0.0,0.0,0.095
weizenbier erdinger,220,18.0,13.0,0.0,0.0
beer light budweiser,9,0.0,0.0,0.0,0.016
beer,142,0.0,0.0,0.0,0.067
root beer,202,0.0,0.0,52.3,0.068
whiskey sour mix,26,0.072,0.069,6.3,0.073
whiskey sour,158,0.0,0.018,0.0,0.067
tequila sunrise,232,0.2,0.0,0.0,0.1
daiquiri,112,0.036,0.063,3.3,0.008
pina colada,245,2.7,2.3,31.5,0.089
whiskey,58,0.0,0.0,0.078,0.0
rum,49,0.0,0.0,0.0,0.053
vodka smirnoff,13,0.4,0.013,0.082,0.0
coffee liqueur,96,0.038,0.096,13.7,0.093
gin,53,0.0,0.0,0.0,0.029
dessert wine sweet,165,0.0,0.0,8.0,0.047
chenin blanc white wine,118,0.0,0.0,0.0,0.0
gamay red wine,115,0.0,0.0,0.0,0.0
late harvest white wine,172,0.0,0.0,0.0,0.0
gewurztraminer white wine,119,0.0,0.0,0.0,0.0
burgundy red wine,172,0.0,0.0,0.0,0.0
zinfandel red wine,129,0.0,0.0,0.0,0.0
muller thurgau white wine,112,0.0,0.0,0.0,0.0
mouvedre red wine,129,0.0,0.0,0.0,0.0
table wine,123,0.0,0.0,1.2,0.087
wine light,73,0.0,0.0,1.7,0.046
white wine,121,0.0,0.0,1.4,0.098
petite sirah red wine,125,0.0,0.0,0.0,0.0
non alcoholic wine,2,0.0,0.0,0.3,0.095
pinot noir red wine,121,0.0,0.0,0.0,0.0
pinot gris grigio white wine,122,0.0,0.0,0.0,0.0
riesling white wine,118,0.0,0.0,0.0,0.0
barbera red wine,170,0.0,0.0,0.0,0.0
lemberger red wine,118,0.0,0.0,0.0,0.0
merlot red wine,122,0.0,0.0,0.9,0.011
sangiovese red wine,126,0.0,0.0,0.0,0.0
sauvignon blanc white wine,119,0.0,0.0,0.0,0.0
syrah red wine,122,0.0,0.0,0.0,0.0
carignane red wine,370,0.0,0.0,0.0,0.0
pinot blanc white wine,119,0.0,0.0,0.0,0.0
semillon white wine,121,0.0,0.0,0.0,0.0
dessert wine dry,760,0.0,0.0,5.5,0.0
red wine,125,0.0,0.0,0.9,0.027
cabernet sauvignon red wine,166,0.0,0.0,0.0,0.0
muscat white wine,123,0.0,0.0,0.0,0.0
cooking wine,2,0.0,0.0,0.09,0.002
chardonnay white wine,168,0.0,0.0,1.9,0.027
claret red wine,122,0.0,0.0,0.0,0.0
rice sake,197,0.0,0.0,0.0,0.046
fume blanc white wine,121,0.0,0.0,0.0,0.0
cabarnet franc red wine,122,0.0,0.0,0.0,0.0
chocolate frosting,81,3.6,1.1,11.8,0.025
white sugar,19,0.0,0.0,4.9,0.012
egg substitute,115,0.0,0.0,4.8,0.5
agave syrup,21,0.081,0.0,4.7,0.09
splenda sweetener,336,0.0,0.0,80.3,0.0
vanilla extract,12,0.069,0.003,0.5,0.061
egg yolk dried,27,2.3,0.7,0.002,0.071
granulated sugar,16,0.0,0.0,4.2,0.019
baking chocolate,145,15.2,9.4,0.3,0.049
bakers yeast,18,0.3,0.089,0.0,0.066
fondant,106,0.009,0.0,25.2,0.022
brown sugar,16,0.0,0.0,4.1,0.094
white frosting dry,768,0.0,0.0,0.0,0.5
maple sugar,42,0.061,0.076,10.2,0.031
fructose sweetener,15,0.0,0.0,3.9,0.013
saccharin sweetener,360,0.0,0.0,85.2,0.4
egg white raw,17,0.063,0.0,0.2,0.038
turbinado sugar,18,0.0,0.0,4.6,0.008
vanilla frosting,1931,75.0,13.7,291.5,0.9
aspartame sweetener,365,0.0,0.0,80.7,0.0
egg raw,80,5.3,1.8,0.2,0.08
pineapple topping,860,0.3,0.066,71.4,0.1
egg white dried,26,0.087,0.0,0.0,0.052
egg yolk raw,55,4.5,1.6,0.08,0.006
baking soda,0,0.0,0.0,0.0,1.3
egg dried,30,2.2,0.7,0.05,0.06
strawberry topping,53,0.096,0.071,5.7,0.099
bakers yeast dry,13,0.3,0.078,0.0,0.081
almond paste,1040,63.0,6.0,82.3,0.051
cream of tartar,8,0.0,0.0,0.0,0.009
popover dry mix,631,7.3,1.7,0.0,1.5
egg substitute powder,126,3.7,1.1,6.2,0.2
gelatin powder,17,0.086,0.09,0.0,0.029
tapioca pearls,544,0.093,0.075,5.1,0.077
baking powder,2,0.0,0.0,0.0,0.5
egg boiled,93,6.4,2.0,0.7,0.042
millet flour,444,5.1,0.6,2.0,0.056
triticale flour,439,2.4,0.4,0.0,0.096
corn flour white,414,4.2,0.6,1.8,0.036
rice flour brown,574,4.4,0.9,1.3,0.039
sorghum flour,437,4.0,0.6,2.3,0.023
cornmeal whole grain,442,4.4,0.6,0.8,0.022
cornmeal white,581,2.7,0.3,2.5,0.094
barley flour,511,2.4,0.5,1.2,0.062
safflower seed meal,97,0.7,0.029,0.0,0.006
sesame flour,658,46.4,6.5,0.0,0.041
whole grain wheat flour,408,3.0,0.5,0.5,0.027
corn flour yellow,422,4.5,0.6,0.7,0.04
corn flour whole grain,422,4.5,0.6,0.7,0.033
cottonseed flour low fat,94,0.4,0.082,0.0,0.022
sunflower seed flour,13,0.013,0.036,0.0,0.073
sesame meal,160,13.6,1.9,0.0,0.073
acorn flour,626,37.7,4.9,0.0,0.0
rice flour white,578,2.2,0.6,0.2,0.0
sesame flour low fat,94,0.5,0.011,0.0,0.072
potato flour,571,0.5,0.1,5.6,0.042
cornmeal yellow,581,2.7,0.3,2.5,0.011
rye flour,364,1.4,0.2,0.9,0.061
arrowroot flour,457,0.1,0.019,0.0,0.002
chickpea flour,356,6.2,0.6,10.0,0.05
wheat flour,455,1.2,0.2,0.3,0.061
cornstarch,488,0.03,0.077,0.0,0.093
carob flour,13,0.061,0.041,2.9,0.033
buckwheat flour,402,3.7,0.8,3.1,0.033
pecan pie,503,27.1,4.9,0.0,0.3
apple pie,331,15.6,3.8,0.0,0.3
vanilla wafer pie crust,935,63.7,13.1,12.9,0.9
chocolate pie crust,881,40.8,8.6,47.9,0.9
apple strudel,195,8.0,1.5,18.3,0.02
chocolate snack cake,200,8.0,2.4,18.9,0.2
fruit fried pie,404,20.6,3.1,27.4,0.4
pumpkin pie,316,14.4,4.9,0.0,0.3
corn cake,35,0.2,0.019,2.1,0.01
sponge snack cake,157,4.8,1.7,15.7,0.2
danish pastry with nuts,280,16.4,3.8,16.8,0.2
chocolate cream pie,301,19.2,4.9,0.0,0.1
angel food cake,72,0.2,0.071,0.0,0.2
lemon meringue pie,362,16.4,4.0,0.0,0.3
danish pastry with cinnamon,349,16.7,3.5,0.0,0.3
cinnamon coffeecake,238,13.3,3.3,0.0,0.2
cheesecake,257,18.0,7.9,17.4,0.4
fruitcake,139,3.9,0.5,11.8,0.013
egg custard,293,12.9,6.1,31.0,0.2
mince pie,477,17.8,4.4,46.7,0.4
yellow cake with chocolate frosting,546,25.6,8.3,56.5,0.4
danish pastry with fruit,335,15.9,3.3,0.0,0.3
white cake with coconut frosting,399,11.5,4.4,64.3,0.3
danish pastry with cheese,353,24.6,5.1,0.0,0.3
graham cracker pie crust,917,45.4,9.1,33.2,0.9
blueberry pie,360,17.5,4.3,0.0,0.3
yellow cake with vanilla frosting,239,9.3,1.5,0.0,0.2
pie crust,121,8.0,2.0,0.045,0.1
chocolate cake with chocolate frosting,537,27.7,8.2,55.1,0.5
cheese coffeecake,258,11.6,4.1,0.0,0.3
vanilla cream pie,350,18.1,5.1,16.0,0.3
pineapple cake,367,13.9,3.4,0.0,0.4
peach pie,262,11.7,1.8,19.0,0.3
fruit coffeecake,156,5.1,1.2,0.0,0.2
pound cake,116,6.0,3.5,0.0,0.1
pound cake bread,215,9.6,1.7,10.0,0.2
white cake,264,9.2,2.4,26.3,0.2
coffeecake with chocolate frosting,298,9.7,2.5,0.0,0.3
popcorn cake,38,0.3,0.074,0.001,0.05
banana cream pie,3190,161.3,44.6,143.0,2.8
baked apple pie mcdonalds,91,4.4,1.1,4.9,0.076
sponge cake,187,2.7,0.8,0.0,0.1
yellow cake,245,9.9,2.7,0.0,0.2
shortcake,98,4.0,1.1,0.0,0.1
cherry pie,486,22.0,5.4,0.0,0.3
dutch apple pie,397,15.8,3.2,30.2,0.3
chocolate cake,352,14.3,5.2,0.0,0.3
marshmallow,64,0.033,0.045,11.5,0.039
sugar apple,72,0.2,0.009,0.0,0.045
toffee,67,3.9,2.5,7.6,0.044
vanilla fudge with nuts,123,3.9,1.1,20.1,0.075
peanuts chocolate coated,21,1.3,0.6,1.5,0.063
caramel with nuts chocolate coated,66,2.9,0.7,5.8,0.041
gingerbread,263,12.1,3.1,0.0,0.2
rolo nestle,24,1.0,0.6,0.078,0.0
vanilla fudge,108,1.5,1.0,22.6,0.04
halavah,328,15.1,2.9,0.0,0.1
praline,189,10.1,0.9,21.8,0.016
fruit juice bar,67,0.089,0.0,13.5,0.011
peanut brittle,138,5.4,1.2,14.5,0.1
butterscotch,21,0.2,0.1,4.3,0.039
chocolate coffee beans,155,9.4,5.1,14.4,0.006
nougat with almonds,56,0.2,0.2,11.7,0.061
carob,135,7.8,7.3,8.5,0.015
peanut butter fudge,62,1.1,0.3,11.7,0.085
sugar coated almonds,17,0.6,0.016,2.2,0.021
chocolate coated marshmallow,118,4.7,1.3,12.5,0.002
raisins chocolate coated,390,14.8,10.3,62.2,0.021
chewing gum sugarless,5,0.013,0.09,0.0,0.001
chewing gum,11,0.032,0.058,2.0,0.083
chocolate syrup,109,0.4,0.2,19.4,0.061
chocolate fudge syrup,67,1.7,0.8,6.6,0.084
m ms milk chocolate mars,207,8.9,5.5,26.7,0.018
milk chocolate with almonds,216,14.1,7.3,18.0,0.051
chocolate fudge,70,1.8,1.1,12.4,0.032
milk chocolate with rice cereal,0,0.0,0.0,0.0,0.0
m ms peanut chocolate mars,93,4.7,1.8,9.1,0.017
dark chocolate,165,9.7,5.7,13.8,0.013
chocolate semisweet,806,50.4,29.8,91.6,0.042
after eight mints nestle,36,1.0,0.7,5.6,0.025
milk chocolate,37,2.1,1.3,3.6,0.045
white chocolate,162,9.6,5.8,17.7,0.009
chocolate,208,14.0,8.2,21.1,0.001
twix mars,146,7.2,5.5,14.0,0.064
kit kat nestle,62,3.3,2.2,6.5,0.022
snickers mars,280,13.6,5.2,28.8,0.1
milky way mars,264,10.0,7.0,34.6,0.021
clif bar,235,4.0,1.0,21.5,0.1
gum drops,18,0.042,0.05,3.5,0.008
skittles wild berry mars,249,2.6,2.6,47.1,0.036
skittles original mars,251,2.7,2.6,47.0,0.025
skittles tropical mars,251,2.7,0.0,47.0,0.095
fruit leather,52,0.4,0.025,6.9,0.0
taffy,60,0.5,0.3,10.3,0.028
eisbonbons mac iver,23,0.0,0.0,0.0,0.0
caramels,39,0.8,0.3,6.6,0.015
hard candy,24,0.067,0.0,3.8,0.021
jellybeans,4,0.043,0.0,0.8,0.076
jellies,56,0.069,0.033,10.8,0.016
wheat germ toasted,115,3.2,0.5,2.3,0.06
crispy brown rice,124,1.1,0.2,2.9,0.086
bran flakes asda,109,0.6,0.2,0.0,0.0
amaranth cooked,251,3.9,0.0,0.0,0.095
triticale,645,4.0,0.7,0.0,0.049
barley raw,42,0.1,0.041,0.094,0.016
bulgur dry,171,0.7,0.1,0.2,0.071
cottonseed kernels roasted,754,54.1,14.5,0.0,0.073
rice bran,373,24.6,4.9,1.1,0.036
chaptti roti indian bread,491,2.5,2.5,68.4,0.0
quinoa cooked,222,3.6,0.4,1.6,0.026
dar vida swiss original,116,3.1,0.3,0.0,0.0
teff cooked,255,1.6,0.0,0.0,0.053
couscous dry,650,1.1,0.2,0.0,0.031
weetabix weetabix,2078,11.5,396.1,0.0,0.0
oat bran cooked,88,1.9,0.4,0.0,0.082
buckwheat cooked,155,1.0,0.2,1.5,0.053
millet puffed,74,0.7,0.1,0.1,0.076
oat bran raw,23,0.5,0.077,0.1,0.036
popcorn oil popped,64,4.8,0.8,0.027,0.018
kamut cooked,251,1.6,0.0,0.0,0.038
wheat bran,125,2.5,0.4,0.2,0.015
cheese popcorn,58,3.7,0.7,0.0,0.002
raisin bran crunch kelloggs,90,0.5,0.0,9.0,0.0
couscous cooked,176,0.3,0.091,0.2,0.054
multigrain cheerios general mills,4,0.005,0.0,0.2,0.0
bulgur cooked,151,0.4,0.053,0.2,0.049
popcorn air popped,31,0.4,0.011,0.086,0.016
teff raw,708,4.6,0.9,3.6,0.053
spelt cooked,246,1.6,0.0,0.0,0.041
millet raw,756,8.4,1.4,0.0,0.013
popcorn unpopped,106,1.2,0.2,0.3,0.001
whole wheat cooked,150,1.0,0.1,0.2,0.6
wheat sprouted,214,1.4,0.2,0.0,0.026
whole wheat dry,96,0.6,0.031,0.1,0.036
caramel popcorn,122,3.6,1.0,15.1,0.069
wheat puffed,44,0.1,0.025,0.0,0.03
roggenmischbrot sonnenblumenkerne aldi,82,3.1,9.9,0.0,0.0
wheat germ,112,3.0,0.5,0.0,0.037
microwave popcorn,465,26.3,12.7,0.3,0.6
millet cooked,207,1.7,0.3,0.2,0.046
kamut raw,627,4.1,0.4,15.2,0.012
wheat durum,651,4.7,0.9,0.0,0.032
sorghum,651,6.3,0.9,0.0,0.045
white wheat,657,3.3,0.5,0.8,0.094
rye,571,2.8,0.3,1.7,0.078
spelt raw,588,4.2,0.7,11.9,0.076
buckwheat raw,41,0.4,0.007,0.0,0.054
honey cereali general mills,104,2.0,21.2,0.0,0.0
barley cooked,193,0.7,0.1,0.4,0.064
oats,39,0.7,0.1,0.0,0.074
amaranth raw,37,0.7,0.1,0.2,0.077
semolina,601,1.8,0.3,0.0,0.097
quinoa dry,221,3.6,0.4,0.0,0.026
wheat shredded,155,1.0,0.2,0.4,0.086
cattail,5,0.0,0.0,0.074,0.031
peanut granola bar,116,5.7,0.8,8.2,0.006
vanilla bluberry bar kind,49,1.4,8.4,0.096,0.0
coconut granola bar,150,9.1,6.4,9.7,0.006
almond granola bar,119,6.1,3.0,0.0,0.067
chocolate chip granola bar,105,3.9,2.7,0.0,0.062
fruit granola bar,82,0.2,0.034,13.3,0.028
granola bar,99,4.2,0.5,6.0,0.084
peanut bar,209,13.5,1.9,16.9,0.059
milk cereal bar,103,2.7,2.3,11.5,0.087
almond rice bar,128,5.7,1.1,0.0,0.0
fruit nut squares,55,1.3,0.1,6.4,0.086
rice wheat cereal bar,90,2.0,0.0,7.0,0.1
crisped rice bar,113,3.8,1.5,0.0,0.01
brown rice raw,685,5.4,1.1,1.6,0.086
rice pilaf cooked,352,8.8,1.8,0.6,1.0
beef flavored rice raw,657,2.3,0.0,0.0,2.4
wild rice cooked,166,0.6,0.078,1.2,0.008
wild rice raw,571,1.7,0.2,4.0,0.051
congee with pork shrimp and squid plus egg,178,0.3,39.3,0.0,0.0
white rice pasta cooked,246,5.7,1.1,0.0,1.1
chicken flavored rice raw,601,2.2,0.7,4.0,2.1
instant white rice raw,361,0.9,0.1,0.026,0.039
rice crisps,107,0.4,0.065,2.3,0.2
parboiled white rice raw,692,1.9,0.5,0.6,0.055
instant white rice cooked,193,0.8,0.088,0.0,0.001
rice pilaf raw,732,2.8,0.0,3.1,2.7
rice cracker cake,111,1.2,0.2,0.2,0.097
parboiled white rice cooked,194,0.6,0.1,0.2,0.088
white rice steamed,199,0.4,0.0,0.0,0.009
brown rice cake,35,0.3,0.062,0.047,0.024
glutinous white rice raw,685,1.0,0.2,0.0,0.015
white rice pasta raw,600,4.0,0.7,0.0,3.0
glutinous white rice cooked,169,0.3,0.056,0.078,0.027
brown rice cooked,218,1.6,0.3,0.7,0.086
beef flavored rice cooked,319,7.9,2.1,0.0,0.9
white rice cooked,205,0.4,0.1,0.015,0.077
chicken flavored rice cooked,317,8.0,1.7,1.5,0.9
white rice raw,675,1.2,0.3,0.2,0.081
cheese imitation,441,36.2,6.6,1.1,0.8
cheshire cheese,110,8.7,5.5,0.0,0.2
monterey cheese,421,34.2,21.5,0.6,0.7
edam cheese,107,8.3,5.6,0.0,0.3
fontina cheese,420,33.6,20.7,1.7,0.9
monterey cheese low fat,350,24.4,15.9,0.6,0.6
colby cheese,445,36.3,22.8,0.6,0.7
american cheese,93,7.9,4.5,0.6,0.4
blue cheese,106,8.6,5.6,0.2,0.3
nectarine,66,0.5,0.066,11.8,0.0
kiwifruit gold,51,0.2,0.008,10.0,0.046
prickly pear raw,8,0.072,0.0,0.2,0.065
pineapple,45,0.1,0.074,8.9,0.099
rowan,253,4.6,0.6,32.1,0.083
muscadine grapes,3,0.056,0.0,0.0,0.024
heidelbeeren jutro,17,0.2,0.039,0.0,0.0
prunes stewed,316,0.7,0.085,0.0,0.039
tangerine,40,0.2,0.07,8.0,0.056
prunes,237,0.5,0.057,0.0,0.076
lemon peel,1,0.002,0.057,0.054,0.028
banana,134,0.5,0.2,18.3,0.055
raspberries,5,0.034,0.005,0.4,0.054
apricot,17,0.1,0.03,3.2,0.02
strawberry guava,4,0.008,0.039,0.0,0.059
kiwifruit green,42,0.4,0.095,6.2,0.096
figs,37,0.2,0.068,8.1,0.049
clementine,35,0.1,0.0,6.8,0.044
orange,86,0.2,0.008,17.2,0.0
bartlett pear,112,0.3,0.0,17.2,0.047
red white currants,63,0.2,0.043,8.3,0.056
blueberries,84,0.5,0.047,14.7,0.015
mulberries,6,0.049,0.004,1.2,0.021
java plum,2,0.029,0.0,0.0,0.063
prune puree,46,0.02,0.038,7.0,0.036
applesauce,102,0.2,0.028,22.9,0.031
blackberries raw,62,0.7,0.076,7.0,0.05
plum,30,0.2,0.062,6.5,0.0
american grapes,2,0.087,0.029,0.4,0.056
peach,59,0.4,0.034,12.6,0.0
honeydew melon,64,0.2,0.055,14.4,0.062
yellow plantain fried,399,12.7,3.1,36.8,0.079
rose hips,206,0.4,0.0,3.3,0.035
lemons,17,0.2,0.063,1.5,0.045
lime,20,0.1,0.087,1.1,0.082
pomegranate,117,1.6,0.2,19.3,0.042
gooseberries,66,0.9,0.001,0.0,0.074
asian pear,51,0.3,0.009,8.6,0.0
abiyuch,157,0.2,0.065,19.5,0.093
horned melon kiwano,92,2.6,0.0,0.0,0.095
fruit walnut salad mcdonalds,312,13.3,1.8,32.9,0.017
grapefruit,53,0.2,0.092,8.6,0.0
japanese persimmon,118,0.3,0.089,21.1,0.067
wild raspberries,81,0.4,0.0,7.2,0.09
pink lady apple,18,0.1,0.0,0.0,0.0
maraschino cherries,8,0.083,0.06,1.9,0.072
black currants,71,0.5,0.019,0.0,0.075
plantain cooked,179,0.3,0.1,21.6,0.079
crab apple,84,0.3,0.064,0.0,0.03
pom potes materne,19,0.2,0.2,0.068,0.0
apple,95,0.3,0.043,18.9,0.062
cantaloupe melon,60,0.3,0.071,13.9,0.087
prickly pear cooked,7,0.043,0.0,0.0,0.0
guava,37,0.5,0.1,4.9,0.056
strawberries,4,0.069,0.057,0.6,0.068
japanese persimmon dried,93,0.2,0.0,0.0,0.002
watermelon,86,0.4,0.026,17.7,0.043
elderberries,106,0.7,0.005,0.0,0.042
kumquat,13,0.2,0.063,1.8,0.018
orange peel,6,0.017,0.046,0.0,0.023
pokeberry shoots cooked,33,0.7,0.0,2.6,0.4
breadfruit,227,0.5,0.1,24.2,0.057
pear,101,0.2,0.019,17.4,0.07
sour cherries,52,0.3,0.069,8.7,0.071
plantain raw,218,0.6,0.3,31.3,0.082
blackberries frozen,97,0.6,0.017,16.1,0.007
cherries,5,0.056,0.053,1.0,0.0
plantain fried,16,0.6,0.2,0.2,0.065
carambola starfruit,26,0.3,0.077,3.4,0.047
chayote cooked,35,0.8,0.1,0.0,0.4
apple dippers mcdonalds,33,0.0,0.0,6.3,0.0
white grapefruit,78,0.2,0.072,17.3,0.0
cherimoya,176,1.6,0.5,30.2,0.061
melon balls,57,0.4,0.1,0.0,0.022
golden delicious apple,62,0.2,0.0,10.9,0.034
pokeberry shoots raw,37,0.6,0.0,0.0,0.05
cranberries,21,0.014,0.089,1.9,0.03
quince,52,0.012,0.049,0.0,0.081
chayote raw,25,0.2,0.027,2.2,0.094
orange with peel,100,0.5,0.036,0.0,0.028
chokecherries,249,2.6,0.0,14.4,0.078
mango,202,1.3,0.3,45.9,0.027
wild plum,147,0.3,0.0,17.1,0.047
jeijoa,148,1.0,0.3,19.9,0.041
groundcherries,74,1.0,0.0,0.0,0.0
pesca,30,0.1,6.1,0.0,0.0
persimmon,32,0.1,0.0,0.0,0.024
grapes,3,0.044,0.041,0.8,0.009
rambutan canned,175,0.4,0.0,0.0,0.051
figs canned,14,0.039,0.066,3.2,0.049
prunes canned,246,0.5,0.072,0.0,0.044
pineapples canned,28,0.05,0.079,6.8,0.06
prune plums canned,27,0.075,0.006,6.5,0.055
tangerines canned,92,0.1,0.087,22.1,0.022
fruit cocktail canned,109,0.053,0.03,25.7,0.059
sour cherries canned,189,0.3,0.007,0.0,0.073
mangosteen canned,143,1.1,0.0,0.0,0.024
apricot juice,117,0.07,0.008,26.2,0.024
strawberries canned,234,0.7,0.064,55.4,0.024
peach canned,110,0.094,0.03,25.7,0.006
fruit salad canned,125,0.008,0.08,0.0,0.069
gooseberries canned,184,0.5,0.004,0.0,0.097
grapefruit canned,88,0.2,0.09,21.4,0.091
pear canned,38,0.001,0.099,7.4,0.088
raspberries canned,233,0.3,0.081,51.4,0.013
papaya canned,80,0.2,0.1,20.4,0.075
grapes canned,98,0.3,0.034,23.8,0.022
apple dried,145,0.2,0.088,34.0,0.024
peach dried,199,0.6,0.055,43.8,0.059
plantain chips,150,8.4,2.4,0.3,0.039
golden raisins,498,0.8,0.2,97.7,0.001
raisins seeded,488,0.9,0.3,0.0,0.098
zante currants dried,408,0.4,0.009,96.9,0.067
pear dried,94,0.2,0.003,22.4,0.074
raisins,90,0.056,0.005,19.6,0.025
prune plums dried,308,0.5,0.01,0.0,0.011
cranberries dried,370,1.6,0.1,78.0,0.037
figs dried,21,0.008,0.014,4.0,0.091
longans dried,5,0.091,0.0,0.0,0.018
banana chips,147,9.5,8.2,10.0,0.099
lychee dried,7,0.003,0.076,1.7,0.049
apricot dried,17,0.015,0.02,3.7,0.066
longan,2,0.076,0.0,0.0,0.0
mamey sapote,217,0.8,0.3,35.2,0.008
waxgourd cooked,19,0.4,0.026,2.1,0.6
jackfruit,33,0.2,0.071,6.7,0.094
loquats,9,0.071,0.085,0.0,0.053
mammy apple mamey,431,4.2,1.2,0.0,0.1
nance,82,1.3,0.0,9.3,0.039
coconut whole coconut,3336,71.5,672.0,0.0,0.0
prickly pear,42,0.5,0.014,0.0,0.044
lychee,6,0.016,0.06,1.5,0.029
naranjilla lulo pulp,30,0.3,0.0,4.5,0.044
coconut meat dried,187,18.3,16.2,2.1,0.058
waxgourd raw,17,0.3,0.036,0.0,0.1
surinam cherry pitanga,2,0.059,0.0,0.0,0.1
passion fruit,17,0.1,0.098,2.0,0.072
sapodilla,141,1.9,0.3,0.0,0.08
pummelo,48,0.06,0.0,0.0,0.094
coconut meat,1405,133.0,117.9,24.7,0.022
soursop,149,0.7,0.1,30.5,0.024
papaya,62,0.4,0.1,11.3,0.004
acerola cherry,2,0.052,0.074,0.0,0.088
ohelo berries,39,0.3,0.0,0.0,0.068
loganberries,81,0.5,0.053,11.3,0.06
casaba melon,48,0.2,0.012,9.7,0.057
durian,51,1.9,0.0,0.0,0.079
coriander leaves raw,4,0.086,0.044,0.1,0.005
garden cress raw,3,0.062,0.052,0.4,0.079
pasilla peppers dried,24,1.1,0.0,0.0,0.063
parsley dried,1,0.096,0.064,0.073,0.058
ancho pepper dried,48,1.4,0.1,0.0,0.068
coriander seeds,5,0.3,0.049,0.0,0.095
dill weed dried,253,4.4,0.2,0.0,0.2
borage,19,0.6,0.2,0.0,0.023
epazote,0,0.06,0.0,0.0,0.021
chives dried,1,0.055,0.051,0.0,0.04
thyme fresh,1,0.068,0.07,0.0,0.017
butterbur,4,0.2,0.0,0.0,0.053
wasabi root,142,0.8,0.0,0.0,0.02
rosemary dried,4,0.2,0.083,0.0,0.048
ginger root,2,0.028,0.048,0.019,0.0
white pepper,7,0.0,0.002,0.0,0.075
cloves ground,6,0.3,0.017,0.028,0.0
paprika,19,0.9,0.1,0.7,0.061
mace ground,25,1.7,0.5,0.0,0.097
bay leaf,2,0.042,0.08,0.0,0.084
eppaw,150,1.8,0.0,0.0,0.015
tarragon dried,2,0.047,0.01,0.0,0.012
ginger ground,6,0.043,0.088,0.067,0.038
savory ground,4,0.029,0.085,0.0,0.055
black pepper,6,0.006,0.034,0.08,0.036
spearmint fresh,3,0.089,0.049,0.0,0.092
poultry seasoning,14,0.3,0.1,0.1,0.063
nutmeg ground,12,0.8,0.6,0.6,0.095
curry powder,20,0.9,0.1,0.2,0.004
peppermint,1,0.004,0.016,0.0,0.007
salt,0,0.0,0.0,0.0,7.0
coriander leaves dried,2,0.098,0.099,0.045,0.018
sage ground,2,0.046,0.07,0.052,0.083
garlic powder,10,0.029,0.003,0.068,0.082
dill weed fresh,4,0.063,0.064,0.0,0.017
cardamom,6,0.1,0.065,0.0,0.013
saffron,2,0.092,0.047,0.0,0.063
allspice ground,5,0.2,0.034,0.0,0.001
parsley fresh,1,0.078,0.016,0.001,0.056
oregano dried,265,4.3,1.6,4.1,0.009
marjoram dried,5,0.1,0.056,0.077,0.004
chives raw,1,0.088,0.083,0.02,0.099
fireweed leaves,24,0.6,0.0,0.0,0.035
rosemary fresh,1,0.1,0.016,0.0,0.039
garlic,4,0.026,0.033,0.043,0.018
cinnamon ground,6,0.044,0.074,0.066,0.022
chervil dried,5,0.002,0.066,0.0,0.076
cayenne pepper,1,0.094,0.043,0.089,0.059
turmeric ground,8,0.2,0.093,0.062,0.064
mustard,3,0.2,0.021,0.048,0.015
chili powder,8,0.4,0.061,0.2,0.014
thyme dried,276,7.4,2.7,1.7,0.016
spearmint dried,1,0.018,0.09,0.0,0.012
basil dried,2,0.027,0.02,0.054,0.089
dandelion greens cooked,35,0.6,0.0,1.7,0.3
basil fresh,2,0.089,0.069,0.064,0.058
dock,29,0.9,0.0,0.0,0.025
