food,Caloric Value,Fat,Saturated Fats,Sugars,Sodium
biscuit with egg bacon,458,31.1,8.0,3.3,1.3
pupusas con queso,300,15.5,7.6,1.4,0.5
apple croissant,145,5.0,2.8,0.0,0.2
refried red beans,336,16.1,2.2,0.0,0.9
tostada with guacamole,180,11.6,4.9,0.0,0.4
chicken sandwich,468,20.9,4.0,6.8,1.4
fried rice,228,3.2,0.7,0.6,0.6
pupusas del cerdo,283,12.7,3.9,1.8,0.5
turkey pot pie,699,34.9,11.4,0.0,1.4
cheese croissant,331,16.7,8.5,9.1,0.3
chimichanga with beef,425,19.7,8.5,0.0,0.9
french toast with butter,178,9.4,3.9,0.0,0.3
ham egg cheese sandwich,347,16.3,7.4,0.0,1.0
english muffin with butter,189,5.8,2.4,0.0,0.4
savoury noodle one pan dinner tandaco,172,1.2,0.5,0.0,0.0
ham cheese sandwich,352,15.5,6.4,0.0,0.8
sweet gefilte fish,35,0.7,0.2,0.0,0.2
poached egg,72,4.7,1.6,0.2,0.1
tostada with beef cheese,315,16.3,10.4,0.0,0.9
tostada with beans cheese,223,9.9,5.4,0.0,0.5
pork tamale,247,12.8,3.8,0.7,0.7
nachos with cheese,274,17.2,1.7,1.7,0.3
pulled pork in barbecue sauce,418,11.0,3.5,37.8,1.7
baked potato with cheese sauce,474,28.7,10.6,0.0,0.4
baked beans,310,10.3,3.9,0.0,0.8
arroz con frijoles,220,5.6,1.1,1.3,0.6
taco with beef cheese lettuce,156,8.8,3.0,0.6,0.3
burrito with beans cheese beef,165,6.6,3.6,0.0,0.5
egg mix,30,2.2,0.8,0.091,0.012
falafel,57,3.0,0.4,0.0,0.081
taco salad with chili con carne,193,8.8,4.0,0.0,0.6
wonton wrappers,93,0.5,0.022,0.0,0.2
hushpuppies,512,20.5,3.2,3.1,1.0
chicken pot pie,598,34.6,12.6,7.2,1.2
general tsos chicken,1578,87.5,14.8,62.1,2.3
burrito with beans cheese,379,11.2,4.3,3.2,1.0
vegetarian fillets,247,15.3,2.4,0.7,0.4
biscuit with egg sausage,505,33.6,10.4,1.5,1.1
chicken chow mein,513,16.9,3.0,10.5,1.9
fruit burrito,231,9.5,4.6,0.0,0.2
arroz con leche,369,9.3,4.8,38.6,0.3
caramel custard flan,444,12.3,5.5,70.8,0.2
gelatin dessert,167,0.0,0.0,36.4,0.2
chocolate milk dessert,229,1.4,0.8,51.6,0.1
chocolate mousse,338,24.0,13.7,22.2,0.081
dulce de leche,60,1.4,0.9,9.5,0.036
apple crisp,454,9.7,1.9,55.5,1.0
spinach spaghetti cooked,182,0.9,0.1,0.0,0.061
corn pasta cooked,176,1.0,0.1,0.0,0.0
spaghetti with meat sauce,255,2.9,1.0,7.4,0.7
pasta with meatballs in tomato sauce,273,13.0,5.0,7.2,0.7
cheese tortellini,332,7.8,3.9,1.0,0.4
pasta with sliced franks in tomato sauce,227,6.0,2.5,8.0,0.7
lasagna,166,6.1,2.9,3.8,0.5
macaroni cheese,310,9.4,3.1,3.0,0.9
vegetable lasagna,316,13.7,5.5,5.8,1.0
spinach egg noodles cooked,211,2.5,0.6,1.1,0.068
cheese lasagna,316,13.0,5.1,10.3,0.7
pasta with tomato sauce,176,1.8,0.4,10.1,1.0
spinach pasta cooked,37,0.3,0.078,0.0,0.004
vegetable chicken soup,166,4.8,1.4,3.4,0.075
bean ham soup,198,2.5,0.6,7.8,0.5
cream of chicken soup,227,14.5,4.3,1.4,1.8
tomato soup canned,139,3.3,1.8,16.5,0.5
egg drop soup,65,1.5,0.4,0.2,0.9
scotch broth,197,6.4,2.7,0.0,2.1
cream of onion soup,268,12.8,3.6,11.1,1.9
chicken broth dry,10,0.2,0.055,0.0,1.2
vegetable soup with beef broth,162,3.8,0.9,4.0,1.3
chili with beans canned,287,14.1,6.0,3.0,1.3
beef noodle soup,168,6.2,2.3,5.2,1.6
consomme dry,17,0.2,0.0,1.1,0.8
chicken mushroom soup,126,6.1,1.6,1.0,0.8
beef vegetable soup,120,2.9,1.0,3.1,0.8
black bean soup,234,3.4,0.9,6.4,2.5
split pea soup with ham bacon,189,3.1,0.9,0.0,1.0
cream of mushroom soup,199,13.4,2.4,1.0,1.7
green pea soup,320,5.7,2.7,16.7,1.7
chicken broth soup,78,2.6,0.8,0.9,1.6
chicken mushroom chowder soup,431,23.7,6.2,0.0,1.8
chicken dumplings soup,235,13.4,3.2,1.4,1.8
chicken vegetable soup,148,5.6,1.7,3.0,1.7
turkey vegetable soup,72,3.0,0.9,2.6,0.9
wonton soup,71,0.6,0.1,0.8,0.9
beef stock,31,0.2,0.003,1.3,0.5
mushroom barley soup,186,5.5,1.1,0.0,1.7
gazpacho soup,70,0.4,0.008,2.2,1.1
beef mushroom soup,186,7.3,3.7,0.0,2.2
chicken rice soup,127,3.2,1.0,1.4,0.9
pepperpot soup,100,4.5,2.0,0.0,0.9
vegetable soup,149,4.0,0.6,7.9,1.3
chili beef soup,308,6.7,3.3,13.4,2.1
chicken soup,174,6.5,1.9,2.1,0.9
bean with frankfurters soup,188,7.0,2.1,0.0,1.1
pea soup,161,2.8,1.4,8.3,0.015
turkey soup,135,4.4,1.2,0.0,0.9
stockpot soup,201,7.8,1.7,0.0,2.1
hot sour soup,91,2.8,0.5,1.0,0.9
cheese soup,203,9.7,6.1,9.3,1.7
cream of potato soup,186,4.7,2.4,3.6,1.5
bean with bacon soup,106,2.1,1.0,0.6,0.9
fish stock,40,1.9,0.5,0.0,0.4
split pea soup with ham,381,8.9,3.5,0.0,1.7
beef broth soup,17,0.5,0.3,0.0,0.9
lentil soup with ham,139,2.8,1.1,0.0,1.3
tomato soup,98,0.7,0.2,12.2,0.6
fish broth,39,1.5,0.3,0.2,0.5
chili without beans canned,283,17.0,5.4,0.0,0.9
minestrone soup,167,5.0,1.1,3.7,1.3
clam chowder soup,154,4.4,0.8,6.8,1.8
tomato vegetable soup,54,0.8,0.4,2.4,0.3
cream of rice coup,127,0.2,0.07,0.022,0.4
cream of celery soup,181,11.2,2.8,3.4,1.3
chicken gravy,188,13.6,3.4,1.9,1.0
tomato rice soup,240,5.5,1.0,15.2,1.6
vegetable beef soup,128,2.0,0.6,0.0,1.1
tomato beef noodle soup,281,8.6,3.2,0.0,1.8
oyster stew soup,118,7.7,5.0,0.0,1.8
ramen noodle soup dry,371,13.3,6.4,1.3,1.7
chicken noodle soup,145,4.7,1.2,0.0,2.1
chicken bouillon dry,11,0.6,0.1,0.7,1.0
cream of asparagus soup,174,8.2,2.1,1.8,1.7
turkey noodle soup,139,4.0,1.1,1.0,1.6
cream of shrimp soup,181,10.4,6.5,0.0,1.7
bean with pork soup,335,11.5,3.0,7.8,1.7
chicken broth,12,0.5,0.008,0.0,0.9
beef broth powder,8,0.3,0.2,0.6,0.9
split pea soup,180,2.3,0.8,12.8,0.4
escarole soup,61,4.0,1.2,0.0,2.3
chicken stock,86,2.9,0.8,3.8,0.3
tomato bisque soup,248,5.0,1.1,0.0,1.8
shark fin soup,99,4.3,1.1,0.0,1.1
onion soup,113,3.5,0.5,6.7,1.3
chicken gumbo soup,113,2.9,0.7,4.9,1.7
crab soup,95,0.8,0.2,0.0,0.6
tripe soup,148,5.2,2.1,0.0,0.8
little india little lunch,164,10.6,15.6,0.0,0.0
original chicken sandwich chick fil a,125,5.1,11.6,0.0,0.0
sausage mcmuffin mcdonalds,383,24.2,8.3,2.2,0.8
sausage mcgriddles mcdonalds,421,24.0,7.3,15.2,1.0
crispy chicken drumstick kentucky fried chicken,70,3.0,0.8,0.0,0.2
chicken crispy drumsticks kentucky fried chicken,156,10.1,2.2,0.0,0.4
biscuit kentucky fried chicken,185,9.1,2.2,1.7,0.5
english muffin mcdonalds,97,2.3,1.1,1.5,0.031
french fries mcdonalds,378,18.1,2.7,0.2,0.2
hotdog,383,23.0,8.1,0.0,1.1
french fries burger king,207,9.2,1.6,0.4,0.2
original taco with beef cheese lettuce taco bell,158,8.8,3.0,0.6,0.3
hotdog with chili,296,13.4,4.9,0.0,0.5
chicken crispy wings kentucky fried chicken,148,10.1,2.1,0.0,0.3
egg white delight mcdonalds,250,16.0,4.0,0.0,0.0
french toast sticks burger king,73,3.7,0.8,2.1,0.014
mcchicken mcdonalds,358,17.3,3.1,4.7,0.8
nachos supreme taco bell,480,26.6,7.8,0.0,0.8
crispy chicken wing kentucky fried chicken,104,5.3,1.1,0.0,0.3
chicken strips burger king,105,5.5,1.0,0.0,0.3
crispy chicken breast kentucky fried chicken,214,6.7,1.7,0.0,0.7
sausage biscuit mcdonalds,440,29.7,12.5,2.3,1.0
sausage burrito mcdonalds,339,17.1,6.1,1.4,0.8
onion rings fried,27,1.6,0.3,0.4,0.015
onion rings burger king,379,23.0,3.8,4.9,0.7
turkey patty fried,79,5.0,1.3,0.053,0.2
